logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000000003	0.0179551492819534	1.85770716360746	0.53305381441992	0.601987229330373	0.910386344970516	-6.13409355829972
ENSG00000000005	0.0613855561988925	1.48403912080747	1.12638429523145	0.278110811167466	0.748123206081724	-5.65258039496343
ENSG00000000938	0.00558560470687297	2.41733657210152	0.196305036697519	0.847067716803929	0.967167805710584	-6.25933517840224
ENSG00000001084	-0.0706747998580064	3.40689207257142	-2.83829101598773	0.0126848097846184	0.2703343430556	-2.99712061860904
ENSG00000001167	0.0055651464244062	2.06131633303928	0.154193239339736	0.879560805319984	0.973423798409553	-6.26693050865093
ENSG00000001460	-0.00196666244009136	1.84296332058217	-0.103967389345678	0.918604751000765	0.984344108263542	-6.2736093113864
ENSG00000001461	-0.051925664337062	2.35122254884927	-1.53555338795698	0.145953589567224	0.62154519213103	-5.15465597486836
ENSG00000001617	-0.0149597790110749	2.11519569105968	-0.480300752757643	0.638104327324527	0.917622813786677	-6.16117023910988
ENSG00000001626	0.0613823812308938	1.36942524972292	1.97605425861087	0.0672860896451682	0.494245967602259	-4.50173570887741
ENSG00000001629	0.0161292165070406	2.20242338223446	0.370630506623032	0.71621533150975	0.941971319496358	-6.20868058597568
ENSG00000001630	-0.0142787810733562	2.7937059602266	-0.474966153832923	0.641812217733643	0.919795646160166	-6.16375663931561
ENSG00000002016	0.0175688632433144	1.98899441315131	0.533369604231798	0.601774113593487	0.910386344970516	-6.1339233018638
ENSG00000002330	0.00337715114043524	2.60342861065879	0.177781501963777	0.861328675879617	0.971857676191329	-6.26289996177294
ENSG00000002549	0.0143183414833499	3.4809819184548	1.01953308944149	0.324487287832641	0.782774644794781	-5.7619035906269
ENSG00000002745	0.0902603130911992	2.00719097508784	1.63915809371037	0.122464976437578	0.588785837652596	-5.01078693660523
ENSG00000002822	0.0464894708725461	2.34905538989446	1.36299905327827	0.193460201410438	0.679658243046691	-5.37906528982995
ENSG00000002834	0.00766022382531384	2.91699720196192	0.201779125189151	0.84286364033612	0.966795651857763	-6.25821449064269
ENSG00000002919	0.0370664458001078	2.39184274632346	1.58905581436116	0.133384739944557	0.604277791807754	-5.08117512196194
ENSG00000002933	-0.047529038956315	3.41916601242306	-1.82269206072808	0.0888154809859186	0.5374323250389	-4.74074458666141
ENSG00000003056	0.00501866808013185	3.09080685950817	0.250883778770623	0.805387570980827	0.963646634211073	-6.246793005883
ENSG00000003096	-0.0113545980554908	2.11717565041381	-0.456651349326842	0.654616997907563	0.923813444802218	-6.17242314296549
ENSG00000003147	0.00241474064030056	2.08794860439749	0.0630603338946579	0.950570550158349	0.989506290759682	-6.27713116506612
ENSG00000003249	0.0425701351489254	1.99712653867341	0.8988404926359	0.383269149704265	0.81754842134022	-5.87398802986678
ENSG00000003393	0.00428575377845286	2.62983774667459	0.175872514997096	0.862801308663024	0.971904057696379	-6.26324736596846
ENSG00000003402	0.0470657996697685	2.64150297600103	2.85458573186436	0.0122769483867282	0.268258377967474	-2.96688943594177
ENSG00000003436	0.0631170119585889	2.32615952339651	1.59246692191156	0.132615696901377	0.603267613404598	-5.07643066915963
ENSG00000003989	0.00946377689829347	2.82735246908004	0.104837556262477	0.917926153932114	0.984083926587497	-6.2735156802239
ENSG00000004059	0.015595212894369	3.01317524598621	0.738919102920844	0.471626364636734	0.861179153771756	-6.00289476914482
ENSG00000004142	-0.0123693006619039	3.09131112401793	-0.940724316937823	0.362095525043637	0.804139711574712	-5.83649737491846
ENSG00000004399	0.072279632384324	2.65457619028761	3.05397096521537	0.00821581674129417	0.227729665439043	-2.59385334726726
ENSG00000004455	-0.0291212046873812	3.32779449188523	-1.63571370389194	0.123190234983334	0.589236850920409	-5.015673664584
ENSG00000004468	0.130390390978047	2.17354543216729	1.27131040874421	0.223426779924613	0.70783459963176	-5.48997866527474
ENSG00000004487	-0.00631581786204105	2.66698999522542	-0.379670463725558	0.709635550485681	0.940462376469806	-6.20521706566303
ENSG00000004534	-0.0128688370656569	2.73441664245831	-0.653858909193105	0.523331356859661	0.882016215597258	-6.06196024638873
ENSG00000004660	-0.0455145333071938	2.17942058368924	-1.98170241425056	0.0665920258698426	0.493422218833891	-4.49272135177735
ENSG00000004700	0.00653299161441057	2.14117779629023	0.239391181510891	0.814118126415457	0.964331832538014	-6.24968654539565
ENSG00000004766	-0.00662271683364546	2.10801171978057	-0.251284296386394	0.805083786177896	0.963623681804447	-6.24668974088435
ENSG00000004779	0.020899623430386	2.96960768903514	0.825779238525044	0.422169964544434	0.83651508751658	-5.93571869615718
ENSG00000004799	0.0929888070994032	1.93564408954676	0.473384244397967	0.642913653074625	0.920078518566501	-6.16451822589525
ENSG00000004838	0.0889645706173541	2.12787607019948	1.87521842465463	0.0808310043716654	0.521868982710868	-4.66017101851655
ENSG00000004864	0.0136085746571064	3.38194651635056	0.636650270416926	0.534171814548725	0.887020864556622	-6.07308588163484
ENSG00000004897	-0.0374388602303302	1.85753398844077	-0.537086862221975	0.599268294538267	0.910361149123109	-6.13191188293383
ENSG00000004939	0.0110036589142697	1.8186217543429	0.396101051082481	0.697737843106782	0.93723999457994	-6.19871267973426
ENSG00000004948	0.0321780786472265	1.40473990458095	0.850469694673813	0.408745276315038	0.829790453048288	-5.91538464967671
ENSG00000005001	-0.000481301592917482	2.36957974277901	-0.0111508313466481	0.991253495786851	0.997011126861395	-6.27911755438172
ENSG00000005007	0.041778127096638	2.39991827692269	0.836480922856115	0.416316481695729	0.834362847737605	-5.9269718209797
ENSG00000005020	0.027569830121879	2.84807979017514	1.175258444644	0.258633809560897	0.73259575350308	-5.59954236141095
ENSG00000005022	-0.010570620260375	3.597020711554	-0.930756699468651	0.367059777415299	0.80595542028825	-5.84555658890886
ENSG00000005059	-0.0167586563776476	1.64687780985221	-0.327848856777132	0.747663048688045	0.950496842756101	-6.22395921142718
ENSG00000005073	-0.0441318202707874	2.11114527928978	-1.11110993545576	0.284419070792853	0.753968668880238	-5.66877110365413
ENSG00000005102	-0.0544367982920275	1.9092810030396	-0.931106533328345	0.366884756573094	0.80595542028825	-5.84524008122321
ENSG00000005156	0.00864142322279271	2.20582376753284	0.374882674265015	0.713117428267159	0.941472994696271	-6.2070616248194
ENSG00000005175	-0.0613480830165098	2.6033923359222	-1.11884827086681	0.281209905298775	0.751750297481075	-5.66059164186913
ENSG00000005187	-0.0266367249427422	3.11604219059874	-0.939408030666977	0.362748410874577	0.804300447860182	-5.83769858242988
ENSG00000005194	-0.0505504634686949	2.89358127776471	-2.55841279525869	0.0221305698151801	0.325117567377569	-3.50848646438505
ENSG00000005243	0.00567194933351134	2.80946772817295	0.222012506054128	0.827368389911164	0.965096674796216	-6.25380636077769
ENSG00000005302	0.0369651701361486	2.91230193303707	1.53255657217802	0.146686326540521	0.622712609990019	-5.15871917192751
ENSG00000005381	0.0632355662802691	2.05946212966561	1.61574246250377	0.127468780008248	0.596255292312205	-5.04386979057422
ENSG00000005421	0.0111194723699697	3.69316632243893	0.963003219639142	0.35116851352183	0.797957619178819	-5.81594185774063
ENSG00000005448	-0.0262519242517236	1.86222343030752	-0.527273982202229	0.605894466541877	0.910386344970516	-6.13719260714123
ENSG00000005471	-0.0140980842275544	3.33884564204704	-0.792984900382561	0.440437052619593	0.846240991540171	-5.96188394487164
ENSG00000005486	-0.00506146974562593	1.81518047093041	-0.221837518012874	0.827502092543292	0.965096674796216	-6.25384627689686
ENSG00000005844	-0.0781897389297814	2.12693198346403	-3.35658010410452	0.00444870242082665	0.171274135183846	-2.01985340480893
ENSG00000005882	0.0102734162446056	3.00271368882298	0.371300449402906	0.715726902361836	0.941850229399038	-6.2084267153068
ENSG00000005884	0.00524759604171887	2.36555310804738	0.19197654251455	0.850395397759904	0.967776804240854	-6.2601996297481
ENSG00000005893	-0.0218791078065812	3.52910738037282	-1.44432684121962	0.169687098815201	0.654842011465076	-5.27576220789804
ENSG00000005961	-0.0239824269317386	2.68675172267124	-0.930903402731209	0.366986375209075	0.80595542028825	-5.84542387382346
ENSG00000006007	0.0272481768093513	3.12096830857568	1.52967197688924	0.147394557615385	0.623491441982304	-5.16262487113288
ENSG00000006015	0.0183163038340726	3.03626783432275	1.16842798979427	0.261291484265524	0.734568340119434	-5.60706654448135
ENSG00000006016	-0.0147272665445106	2.33487777808468	-0.600097581133106	0.557607603906688	0.895700039063495	-6.0957858243973
ENSG00000006042	-0.0563026286778494	2.84498160033083	-1.82454988972334	0.0885215001183003	0.536605139428855	-4.73791854938735
ENSG00000006047	0.0500993534300602	2.06257765476778	1.63917097433217	0.122462271192733	0.588785837652596	-5.01076864914565
ENSG00000006062	-0.012376686452769	2.30988617478657	-0.343088753572515	0.736403795494751	0.948797376916038	-6.21872759138322
ENSG00000006116	-0.0202918644328127	1.68563287660494	-0.683077734729171	0.505214312860207	0.876023712676667	-6.04243134669243
ENSG00000006118	0.0287362345351903	2.25607709729361	0.95403081398368	0.3555411239698	0.801177371724793	-5.82427106692434
ENSG00000006128	-0.0203262088626064	1.68052969023839	-0.653044444393832	0.523841598530639	0.882016215597258	-6.06249311187389
ENSG00000006210	0.00561076359707124	2.12599000028353	0.197051415628709	0.846494214571906	0.967058594892544	-6.25918417998582
ENSG00000006377	-0.014446771955642	2.06177598017566	-0.390938279371504	0.701467649356893	0.938284549273468	-6.20078552530384
ENSG00000006453	-0.00300135796570178	2.84665763291253	-0.143170238788119	0.888105772659502	0.974949725088919	-6.26861830648488
ENSG00000006468	0.0855550666098024	1.69986783120727	3.41073824357745	0.00398537545881058	0.163368369378578	-1.9165249850738
ENSG00000006530	0.0111197135082728	2.3655860396615	0.415344280504365	0.683907338144358	0.932913210255758	-6.19075243595119
ENSG00000006534	0.0220236768939639	2.48092156693367	0.815913421444599	0.42761324529713	0.838033793102933	-5.94369175950316
ENSG00000006607	0.00728727378728022	2.67762621050622	0.371431095625433	0.715631668271082	0.941850229399038	-6.20837715533771
ENSG00000006611	0.00862619502998441	1.93821706019311	0.309532816354772	0.761273885071899	0.952418010862029	-6.2299369445913
ENSG00000006634	-0.0753991423505671	2.04027560802448	-1.57179489195819	0.13733491625947	0.608413879862262	-5.10507438759534
ENSG00000006638	-0.00811140980428071	2.68073259892389	-0.283138296146947	0.781031271925312	0.956358108371302	-6.23795463048487
ENSG00000006695	-0.0331452429434558	2.59680043004106	-1.06209047668001	0.305384901120487	0.771026390164573	-5.71947105104925
ENSG00000006704	-0.0189789956504698	2.83177184610064	-0.665274677841215	0.516209417438396	0.878037825421307	-6.05442572857313
ENSG00000006712	-0.0136423108087302	2.58968765923991	-0.407860938210163	0.689272197042507	0.935793155465659	-6.1938918564832
ENSG00000006744	-0.0332711935284742	2.72298409029687	-2.31047868835506	0.0358655828224624	0.392744659824315	-3.94546750725206
ENSG00000006747	-0.0614670661021146	1.66585867204471	-1.38355878851183	0.1872078257753	0.673065310904276	-5.35337798071076
ENSG00000007001	-0.0862973681031973	3.35961854514658	-2.59637945043257	0.0205338939348727	0.318216385766484	-3.44010594857802
ENSG00000007038	0.00323658817171069	2.18827456920108	0.188134899867669	0.853351265699873	0.96884013129472	-6.26095079045928
ENSG00000007047	-0.00879526454982615	2.31247804126864	-0.213865628697978	0.833598947585073	0.966795651857763	-6.25563157157354
ENSG00000007062	-0.0263137558740305	1.8270006716465	-0.487941677076105	0.632810793216759	0.917308214013722	-6.15741696228364
ENSG00000007168	0.0263421598917613	1.93667785949672	0.661516359792593	0.518547968306648	0.879930450941843	-6.05691979198805
ENSG00000007171	0.0459080548704609	1.9858850297415	0.782371319171176	0.446454909335003	0.848435016104047	-5.97014450602883
ENSG00000007216	0.0599940932245273	2.33836019800479	1.5251738961977	0.148504693381402	0.624573942739038	-5.16870472008284
ENSG00000007237	0.0580820125880561	2.02029154211595	1.63980888600762	0.122328358671337	0.588785837652596	-5.0098628424974
ENSG00000007255	-0.00783747824538539	2.80075910728995	-0.337075782908453	0.740838886532969	0.950054170132433	-6.2208196880448
ENSG00000007264	-0.0280438248865051	1.84535991009753	-0.6757053008509	0.509750908941534	0.876904991697721	-6.0474343718695
