logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000000003	0.884634	10.71661625	2.20848996717047	0.0630927748764427	0.199438392307886	-5.3084169195329
ENSG00000000005	0.0721600000000002	4.786736875	0.637158804364326	0.544369410151175	0.757372554410605	-7.1877713172837
ENSG00000000419	0.524339999999997	10.732225	3.43343869341844	0.0110035691581889	0.0616651933589635	-3.49106447690046
ENSG00000000457	0.100100000000005	8.828370625	0.499112636215693	0.633062043049104	0.818871511817843	-7.27310905591663
ENSG00000000460	1.286914	7.144815625	12.075760297931	6.29507862452491e-06	0.000564810094543565	4.60533518392714
ENSG00000000938	-0.438863999999999	8.074455	-2.55852510252142	0.0377623705841959	0.140776241146797	-4.78668709849278
ENSG00000000971	-0.208740000000002	12.745825	-1.74114942708259	0.125374173719317	0.315446258688238	-5.97960993611542
ENSG00000001036	0.141572	9.65349875	0.781146348856939	0.460415221653735	0.697070015257942	-7.07935666401978
ENSG00000001084	0.368880000000001	10.489763125	1.79111593238269	0.116562149567404	0.301944765517289	-5.91025838768897
ENSG00000001167	0.690106	9.03604625	5.46329419229671	0.000955567777350784	0.0121083415897102	-0.840016048789556
ENSG00000001460	-0.176837999999999	6.3772475	-1.30661395301447	0.232794516788465	0.465382265936838	-6.54295996335166
ENSG00000001461	-0.162956	6.901525625	-1.30074651217982	0.234687859298972	0.467661531046623	-6.54996086879817
ENSG00000001497	0.980955999999999	8.5704325	5.12677436169657	0.00137559325848853	0.0155528481749245	-1.23859602189587
ENSG00000001561	-0.411217999999999	7.262651875	-2.90832384045653	0.0228181215047475	0.100701323311304	-4.26320461486669
ENSG00000001617	0.151392	7.40963125	1.03425167603346	0.335556574853904	0.578905019336916	-6.84577553202566
ENSG00000001626	-1.378062	6.276474375	-1.70139695857089	0.13283485736614	0.32742292152426	-6.03423524177813
ENSG00000001629	-0.0973640000000042	9.602436875	-0.677956223802931	0.519659191518759	0.740071975471724	-7.1589990046114
ENSG00000001630	-0.268531999999999	10.226775625	-0.47059557571606	0.652297580800358	0.830876502538996	-7.28834639233585
ENSG00000001631	-0.149487999999998	9.414206875	-1.33139672816721	0.224943338213023	0.456235519736221	-6.51318109405518
ENSG00000002016	0.411118000000005	8.062904375	2.30076454913171	0.0550782948655497	0.181238994398591	-5.17170165641748
ENSG00000002330	0.0749440000000021	7.85572625	0.73333992462481	0.4872729884267	0.716504100497483	-7.11745415911856
ENSG00000002549	0.712216	9.59320625	4.059902721511	0.00485174859766431	0.0354547829746524	-2.61045847957415
ENSG00000002586	1.34612	10.1052825	7.65221388325024	0.000123481159491374	0.0035210205960728	1.40027019512642
ENSG00000002587	0.0141439999999999	7.712058125	0.127155228377342	0.902407429907736	0.96129374566164	-7.40333817191814
ENSG00000002726	-0.260883999999999	6.827425625	-0.80973677959026	0.444846309087961	0.684033573276784	-7.05560963893816
ENSG00000002745	-0.0119699999999963	6.32343375	-0.1071714383036	0.917671939450306	0.967161945295292	-7.40600053088191
ENSG00000002746	-0.13326	5.440889375	-1.08567980281456	0.313729620115948	0.556440294389657	-6.79232136886959
ENSG00000002822	0.149412000000001	7.81155375	1.04751928884093	0.329813281705582	0.573502457787611	-6.83216495247203
ENSG00000002834	0.243067999999997	9.987159375	1.86782501014579	0.104182150594707	0.280571911996455	-5.8024225038088
ENSG00000002919	0.116862000000002	7.573045625	0.947176543414367	0.375215124120964	0.619202962599402	-6.93187330007326
ENSG00000002933	-0.0707000000000022	12.804025	-0.628215330715723	0.549881058432083	0.76178761455695	-7.19386694629351
ENSG00000003056	0.32132	10.5706625	2.34914797111373	0.0512972303449702	0.172958232328652	-5.09971133608373
ENSG00000003096	0.287954000000003	6.493474375	1.09283193713593	0.310786544253319	0.552921345799991	-6.78474074765535
ENSG00000003137	-0.180922	6.363941875	-1.60621602405359	0.152436874063466	0.35697468518491	-6.16284756035096
ENSG00000003147	-0.203342	7.25544375	-0.546599702921337	0.601701473841442	0.796771536435859	-7.24589331742094
ENSG00000003249	-0.0554719999999991	7.8731625	-0.352904386457982	0.734589420098962	0.880189150202217	-7.34221808062996
ENSG00000003393	-0.507946	8.16335	-2.23284931265249	0.0608688737017612	0.194564176827374	-5.27241011312721
ENSG00000003400	-0.705051999999999	6.656910625	-5.26884552509552	0.00117730497238183	0.0138915814762171	-1.0683765525468
ENSG00000003402	-1.078638	9.550960625	-5.99661895036598	0.000552625871680548	0.00849331536942211	-0.240175103811913
ENSG00000003436	-0.785300000000007	10.407718125	-4.62913547111982	0.00242593803523428	0.0225510791236079	-1.85779636313868
ENSG00000003509	0.180942	8.2283325	1.15660077737894	0.285526555017177	0.525147206296147	-6.71562586958112
ENSG00000003756	-0.365481999999995	9.8648325	-3.36728677990779	0.0120378178168953	0.0656411355433506	-3.58689729180975
ENSG00000003987	-0.212663999999998	5.306301875	-1.2524544595149	0.250783027560617	0.485918098359437	-6.60684258302715
